transcript_id HELAS3 GM12878 H1HESC HEPG2 K562
ENST00000430683.1 0 0.011848 0 0 0
ENST00000448015.1 0 0.000321 0 0 0.000231
ENST00000450821.1 0.003676 0.008488 0.002895 0.0017995 0.007455
ENST00000499627.1 0.002588 0.000335 0.0010545 0.000253 0.0013265
ENST00000464612.1 0.116609 0.190719 0.166412 0.0654445 0.434598
ENST00000475441.1 0.0391175 0.0496165 0.0017515 0.01407 0.084712
ENST00000531126.1 0.0126785 0.001458 0.051363 0.008382 0.004087
ENST00000461448.1 0.130802 0.135318 0.040373 0.160865 0.15939
ENST00000470977.1 0.333603 0.196842 0.0297005 0.163625 0.348799
ENST00000474814.1 0.142241 0.134091 0.133691 0.154463 0.261673
ENST00000481368.1 0.050017 0.0632505 0.077026 0.0990985 0.0654345
ENST00000481220.1 0.0036895 0.000883 0.0131965 0.0165755 0.003326
ENST00000488745.1 0.001231 0.0171655 0.0005325 0.005952 0.0117045
ENST00000483436.1 0.0065195 0 0.0010125 0 0.003376
ENST00000464115.1 0.0066765 0.0039245 0.0112935 0.0020765 0.0059205
ENST00000461832.1 0.0336915 0.043622 0.192273 0.099022 0.019189
ENST00000420776.1 0.0019275 0.0149215 0.0061695 0.008659 0.0072025
ENST00000427804.1 0.0128785 0.0002345 0.000247 0.0058955 0.003924
ENST00000443593.1 8.65e-05 0 0.034912 0.0003645 0.000367
ENST00000418471.1 0.004036 0.000637 0.0038565 0.010831 0.003818
ENST00000413004.1 0.001667 0.011106 0.0045395 0.0015285 0.017416
ENST00000450108.1 0.000533 0.0005605 0 0 0
ENST00000427046.1 0.0005285 0 0 0 0
ENST00000417651.1 0 0 0.0004855 0.0002245 0.0002165
ENST00000422638.1 0.0009945 0 0.0009435 0.0051225 0
ENST00000445180.1 0 0 8.15e-05 0 0
ENST00000441046.1 0 0 0 0 0.0008705
ENST00000427319.1 0 0 0 0 0
ENST00000420354.1 0 0 0 0 0
ENST00000414532.1 0.0205295 0.0099875 0.0020515 0.0099045 0.0907885
ENST00000454613.1 0.0063615 0.00441 0.000644 0.0025605 0.003669
ENST00000414763.1 0.029163 0.0121305 0 0.0026675 0.186319
ENST00000443076.1 0.035414 0.008961 0 0.0106895 0.014382
ENST00000440358.1 0 0 0.0002765 0 0
ENST00000430320.1 0.0011495 0 0.0003075 0 0.000358
ENST00000438790.1 0 0 0 0 0
ENST00000431202.1 0 0 0 0 0
ENST00000430143.1 0.0009775 0.000527 0 0.000422 0.0006835
ENST00000418618.1 0.004675 0.634648 0.0019175 0.0069305 0.0005035
ENST00000412068.1 0 0.0937025 0.000606 0.0013805 9.55e-05
ENST00000417514.1 0.000405 0.0722445 1.15e-05 0.000553 0
ENST00000435872.1 0.0506675 0 0.000969 0.145184 0.001255
ENST00000445166.1 0 0 0.00115 0 0
ENST00000527035.1 0 0 0 0 0
ENST00000453837.1 0.0002655 6.85e-05 0 0.000296 5.8e-05
ENST00000447478.1 0 0.0013345 0 0 0.0002195
ENST00000366152.3 0.000296 0.0001235 0 0 0.0005945
ENST00000373604.4 0.0092115 0.0037465 0.0065625 0.006802 0.001725
ENST00000421616.1 0.0030115 0.001372 0.002717 0.0037075 0.000464
ENST00000458147.1 0 0 0.001506 0.0018795 0.0006965
ENST00000448134.1 0.004716 0.003785 0.001448 0.024599 0.0083585
ENST00000413329.1 0.000275 0 0 0.0007705 0.0005075
ENST00000421153.1 0 0 0 0.001033 0.0011875
ENST00000432622.1 0.0461745 0.037509 0.067111 0.125816 0.150977
ENST00000416512.1 0.0744685 0.0303925 0.0496025 0.181086 0.132821
ENST00000428500.1 0.006172 0.0035795 0.000663 0.0040065 0.0025485
ENST00000415596.1 0.006034 0.001867 0.0375325 0.0664015 0.0035435
ENST00000421619.1 0.0036985 0 0.0025525 0.0088165 0.0013145
ENST00000427524.1 0 0 0 0 0
ENST00000457957.1 0 0 0.000766 0 0
ENST00000432703.1 0.0255815 0.0031255 0.0017995 0.012694 0.033881
ENST00000425631.1 0 0 0 0 0
ENST00000434181.1 0 0 0 0 0
ENST00000432447.1 0 0 0 0 0
ENST00000414868.1 0 0 0 0 0
ENST00000438719.1 0 0 0 0 0
ENST00000431046.1 0 0.0001195 0 0 0
ENST00000542839.1 0 0 0 0.0006795 0
ENST00000429293.1 0 0 0 0 0.000315
ENST00000311990.4 0.007412 0.0085705 0.02372 0.0132345 0.0090015
ENST00000432683.1 0.000192 0.000343 0.0006825 0 0.0017575
ENST00000425881.1 0 0 0 0 0
ENST00000444348.1 0.0002905 0.0010595 0.001392 0.000786 0.0026435
ENST00000452217.1 0.0008345 0 0 0.000451 9.75e-05
ENST00000373226.2 0.015213 0.0140015 0.012261 0.0094425 0.015758
ENST00000446354.1 0 0.000155 0 0 0
ENST00000451375.1 0 0.0001735 0 0 0
ENST00000413901.1 0 0 0 0 0
ENST00000424989.1 0.210763 0.0178385 0.0212905 0.095168 0.009431
ENST00000433474.1 0.0025955 0.0048535 0.0068225 0.0027025 0.0033775
ENST00000419993.1 0.0017325 0.003133 0.0040315 0.0037015 0.0045075
ENST00000432922.1 0 0.0003025 0.004598 0 0
ENST00000428151.1 0 0.0004315 0.0112115 0 0
ENST00000431311.1 0 0.000155 0.0006355 0 0
ENST00000452971.1 0 0.000681 0 0 0
ENST00000433671.1 0.010894 0.003249 0.0103405 0.013064 0.0019615
ENST00000456813.1 0.004575 0.006983 0.000494 0.0121855 0.0011775
ENST00000443161.1 0.002982 0.005229 0.001982 0.007533 0.0017605
ENST00000289890.7 0 0 0 0 0
ENST00000441741.1 0.0029155 0.0033895 0.003048 0 0
ENST00000331856.2 0.008886 0.0117765 0.022444 0.005979 0.001673
