filename	NHEK	K562	HELAS3	GM12878	H1HESC
ENST00000519323.1	0	0	0	0	0.012145
ENST00000507344.1	0	0	0	0	0
ENST00000506255.1	0	0	0	0	0
ENST00000518355.1	0	0	0.0209055	0	0
ENST00000528156.1	2.51855	8.09398	9.43131	6.69827	2.11716
ENST00000419244.2	0	0.0310975	0.015973	0	0.0161485
ENST00000417089.1	3.25698	111.66	4.45381	0.0410405	2.66838
ENST00000440090.1	0.0282033	0.006985	0.136335	0.001622	0.002014
ENST00000318186.3	0.106205	0.058759	0.0591485	0	0.235327
ENST00000508202.1	0.00165667	0.0020915	0	0.003065	0
ENST00000507476.1	0.0235053	5.41132	0.012281	0.131721	0.044679
ENST00000529014.1	5.89197	2.10061	1.70477	2.51987	1.11934
ENST00000529135.1	0.873556	0.161006	0.0012045	0	0
ENST00000505298.1	0	0.036312	0.0125425	0.0025975	0
ENST00000529377.1	0	0	0	0	0
ENST00000539178.1	0	0	0	0	0
ENST00000465390.1	0.00320433	0.0056355	0.005673	0.854975	0
ENST00000509423.1	0.008226	0	0	0	0
ENST00000518014.1	0	0.002887	0.004684	0.02483	0.0040285
ENST00000453180.1	0	0	0	0	0
ENST00000517299.1	0	0	0	0	0
ENST00000419168.1	0	0	0	0	0
ENST00000499171.1	0.001807	0.018227	0	0.010594	0.0167585
ENST00000509445.1	0	0	0	0.047366	0
ENST00000499390.2	0	0	0.0075635	0.0062115	0.0232205
ENST00000519246.1	2.85828	8.23113	6.4662	2.02889	1.22748
ENST00000506057.1	0	0.013531	0	0.14085	0
ENST00000507388.1	0.0712997	0	0	0	0
ENST00000506299.1	0	0	0	0	0
ENST00000431290.1	0.0101637	0	0	0.017706	0
ENST00000430080.1	0.0916583	0.224686	0.078705	1.03685	15.9231
ENST00000509456.1	0	0.212375	0	0.0143355	0
ENST00000506068.1	0	0	0	0	0
ENST00000519499.1	0.00766133	0	0.0016655	0.0994045	0.033792
ENST00000419069.1	0	0	0	0	0
ENST00000455380.1	0.049354	0.176044	0.07205	0.201686	0.0495855
ENST00000508015.1	2.36881	16.9376	7.58957	12.9577	3.00694
ENST00000499291.2	0.0165657	0.00744	0.001867	3.19483	0.0840815
ENST00000519147.1	0.00638667	0.015764	0.080859	0	0.0436905
ENST00000529069.1	0.0375893	0.01212	0.016784	0.549512	0.003245
ENST00000420180.1	0	0	0	0	0
ENST00000454060.1	0.431914	0.0257745	0.224326	0.206608	0.055672
ENST00000455391.1	0	0	0.123243	0.0171825	0
ENST00000466281.1	0	0	0	0	0
ENST00000523790.1	1.57814	0	0.30631	0	0
ENST00000414890.1	0.00560433	0.072018	0.040934	0.004255	0.180933
ENST00000533591.1	0	0.0052495	0.022609	0.135981	0
ENST00000436670.1	0.00195733	0.0009925	0	0.012342	0.019667
ENST00000543150.1	0.259357	0.033218	0.0341795	1.24354	0.849681
